New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex
E69,Russet Brown,E120,Reddish Brown,E373,Reddish Brass,,,b27a6f
E614,Maple Syrup,E130,Copper,,,,,8d6660
E44,Soft Sand,E160,Soft Sun,,,,,f6d3b4
E58,Fawn Brown,E170,Caribe Cocoa,,,,,c39886
Y69,Milk Tea,E210,Brick Beige,,,,,e0c3a6
E46,Coral Sand,E220,Sand,,,,,ecb796
Y413,Fawn,E240,Chamois,,,,,d2a17f
YR314,Sandalwood,E260,Leather,,,,,a97461
Y62,Sandy Beige,E280,Sand White,,,,,f7e5d3
E311,Sandbar Brpwn,E300,Clay,,,,,af9e89
E413,Dark Brown,E310,Dark Brown,E460,Dark Brown,,,9a7d72
YR01,Milk White,E330,Milky White,,,,,faecdb
Y515,Light Walnut,E370,Light Walnut,,,,,b48670
E92,Ash Rose,E380,Ash Rose,,,,,ddccc6
E97,Deep Rose Grey,E400,Cocoa Brown,,,,,bca09b
E914,Bark Brown,E430,Pecan,,,,,816867
E06,Bog Mist Geen,E432,Vert Celadon,,,,,d5d0bd
E011,Pale Camo Green,E434,Dragon Well Tea,,,,,a7a696
E211,Light Elm Wood,E440,Khaki,,,,,cfb38c
E313,Swamp Mud,E450,Fennel Seed,,,,,8d7a67
E314,Military Olive,E460,Military Olive,,,,,78685e
YR55,Pink Lemonade,E470,Tea Rose,,,,,f2c5bb
Y412,Apple Cider,E490,Deep Orange,,,,,e4a884
